"","Season","SexRepro","AgeClass","SampleTimeHour","Strongyles","Coccidia","Capillaria","Nematodirus","TrichurisBin","StrongylesBin","CoccidiaBin","CapillariaBin","NematodirusBin","StrongyloidesBin","MonieziaBin","Id","Sex","Age","logStrongyles","logNematodirus","logCapillaria","logCoccidia","SampleTimeScale","AgeScale","obs"
"231","Spring19","FemaleLamb","Adult",15,279,366,0,0,0,1,1,0,0,0,0,"9838","Female",5,5.63478960316925,0,0,5.90536184805457,1.20186027359809,0.370879808166466,"231"
"232","Spring19","Male","Adult",16,63,294,0,0,0,1,1,0,0,0,0,"9063","Male",6,4.15888308335967,0,0,5.68697535633982,1.63106530497267,0.685527413731884,"232"
"233","Spring19","Male","Adult",8,54,534,0,0,0,1,1,0,0,0,0,"9063","Male",6,4.00733318523247,0,0,6.28226674689601,-1.80257494602396,0.685527413731884,"233"
"234","Spring19","Male","Adult",8,123,336,0,1,0,1,1,0,1,1,0,"10258","Male",4,4.82028156560504,0.693147180559945,0,5.82008293035236,-1.80257494602396,0.0562322026010486,"234"
"235","Spring19","Male","Adult",8,108,420,0,0,0,1,1,0,0,1,1,"10525","Male",3,4.69134788222914,0,0,6.04263283368238,-1.80257494602396,-0.258415402964369,"235"
"236","Spring19","FemaleLamb","Adult",9,57,1512,0,0,0,1,1,0,0,0,0,"10237","Female",4,4.06044301054642,0,0,7.32184971378836,-1.37336991464938,0.0562322026010486,"236"
"237","Spring19","FemaleLamb","Adult",9,378,1296,0,0,0,1,1,0,0,0,0,"9904","Female",5,5.93753620508243,0,0,7.16780918431644,-1.37336991464938,0.370879808166466,"237"
"238","Spring19","FemaleLamb","Adult",9,10,597,0,0,0,1,1,0,0,0,0,"10628","Female",3,2.39789527279837,0,0,6.39359075395063,-1.37336991464938,-0.258415402964369,"238"
"239","Spring19","FemaleNoLamb","Adult",9,11,990,0,0,0,1,1,0,0,0,0,"7336","Female",10,2.484906649788,0,0,6.89871453432999,-1.37336991464938,1.94411783599356,"239"
"240","Spring19","FemaleNoLamb","Adult",9,13,1,0,0,0,1,1,0,0,0,0,"10226","Female",4,2.63905732961526,0,0,0.693147180559945,-1.37336991464938,0.0562322026010486,"240"
"241","Spring19","FemaleLamb","Adult",11,291,204,0,0,0,1,1,0,0,1,0,"10594","Female",3,5.67675380226828,0,0,5.32300997913841,-0.514959851900222,-0.258415402964369,"241"
"242","Spring19","FemaleLamb","Adult",11,10,240,0,0,0,1,1,0,0,0,0,"8721","Female",7,2.39789527279837,0,0,5.48479693349065,-0.514959851900222,1.0001750192973,"242"
"243","Spring19","FemaleLamb","Adult",9,7,516,0,0,0,1,1,0,0,1,0,"8712","Female",7,2.07944154167984,0,0,6.24804287450843,-1.37336991464938,1.0001750192973,"243"
"244","Spring19","FemaleLamb","Adult",9,12,978,0,0,0,1,1,0,0,0,0,"8720","Female",7,2.56494935746154,0,0,6.88653164253051,-1.37336991464938,1.0001750192973,"244"
"245","Spring19","FemaleLamb","Adult",9,81,702,0,0,0,1,1,0,0,1,0,"10598","Female",3,4.40671924726425,0,0,6.55535689181067,-1.37336991464938,-0.258415402964369,"245"
"246","Spring19","FemaleLamb","Adult",9,114,522,0,0,0,1,1,0,0,0,0,"9838","Female",5,4.74493212836325,0,0,6.25958146406492,-1.37336991464938,0.370879808166466,"246"
"247","Spring19","FemaleNoLamb","Adult",9,7,2592,0,0,0,1,1,0,0,0,0,"7241","Female",10,2.07944154167984,0,0,7.86057078553866,-1.37336991464938,1.94411783599356,"247"
"248","Spring19","FemaleLamb","Adult",10,72,936,0,0,0,1,1,0,0,0,0,"10642","Female",3,4.29045944114839,0,0,6.84268328223842,-0.9441648832748,-0.258415402964369,"248"
"249","Spring19","FemaleLamb","Adult",10,79,465,0,0,0,1,1,0,0,0,0,"11191","Female",2,4.38202663467388,0,0,6.14418563412565,-0.9441648832748,-0.573063008529787,"249"
"250","Spring19","FemaleLamb","Adult",10,192,1215,0,2,0,1,1,0,1,1,0,"8715","Female",7,5.26269018890489,1.09861228866811,0,7.10332206252611,-0.9441648832748,1.0001750192973,"250"
"251","Spring19","FemaleLamb","Adult",10,81,1953,0,0,0,1,1,0,0,0,0,"9764","Female",5,4.40671924726425,0,0,7.57763383260273,-0.9441648832748,0.370879808166466,"251"
"252","Spring19","Male","Adult",10,63,285,0,0,0,1,1,0,0,0,0,"10586","Male",3,4.15888308335967,0,0,5.65599181081985,-0.9441648832748,-0.258415402964369,"252"
"253","Spring19","FemaleLamb","Adult",10,6,123,0,0,0,1,1,0,0,1,0,"10626","Female",3,1.94591014905531,0,0,4.82028156560504,-0.9441648832748,-0.258415402964369,"253"
"254","Spring19","FemaleLamb","Adult",12,11,123,0,0,0,1,1,0,0,0,0,"9153","Female",6,2.484906649788,0,0,4.82028156560504,-0.0857548205256438,0.685527413731884,"254"
"255","Spring19","Male","Adult",12,66,963,0,0,0,1,1,0,0,1,0,"10603","Male",3,4.20469261939097,0,0,6.87109129461055,-0.0857548205256438,-0.258415402964369,"255"
"256","Spring19","Male","Adult",12,63,576,0,0,0,1,1,0,0,1,0,"9866","Male",5,4.15888308335967,0,0,6.3578422665081,-0.0857548205256438,0.370879808166466,"256"
"257","Spring19","FemaleLamb","Adult",12,13,306,0,0,0,1,1,0,0,0,0,"10349","Female",4,2.63905732961526,0,0,5.7268477475872,-0.0857548205256438,0.0562322026010486,"257"
"258","Spring19","FemaleLamb","Adult",14,102,909,0,0,0,1,1,0,0,0,0,"8804","Female",7,4.63472898822964,0,0,6.8134445995109,0.772655242223513,1.0001750192973,"258"
"259","Spring19","FemaleLamb","Adult",14,48,216,0,0,0,1,1,0,0,0,1,"8725","Female",7,3.89182029811063,0,0,5.37989735354046,0.772655242223513,1.0001750192973,"259"
"260","Spring19","FemaleLamb","Adult",14,20,519,0,0,0,1,1,0,0,0,0,"10351","Female",4,3.04452243772342,0,0,6.25382881157547,0.772655242223513,0.0562322026010486,"260"
"261","Spring19","FemaleLamb","Adult",14,12,567,0,0,0,1,1,0,0,0,0,"8787","Female",7,2.56494935746154,0,0,6.34212141872115,0.772655242223513,1.0001750192973,"261"
"262","Spring19","FemaleNoLamb","Adult",14,36,99,0,0,0,1,1,0,0,0,0,"11124","Female",2,3.61091791264422,0,0,4.60517018598809,0.772655242223513,-0.573063008529787,"262"
"263","Spring19","FemaleLamb","Adult",15,18,189,0,0,0,1,1,0,0,0,0,"11393","Female",3,2.94443897916644,0,0,5.24702407216049,1.20186027359809,-0.258415402964369,"263"
"264","Spring19","Male","Adult",15,81,123,0,0,0,1,1,0,0,0,0,"10131","Male",6,4.40671924726425,0,0,4.82028156560504,1.20186027359809,0.685527413731884,"264"
"265","Spring19","Male","Adult",15,33,111,0,0,0,1,1,0,0,1,0,"8735","Male",7,3.52636052461616,0,0,4.71849887129509,1.20186027359809,1.0001750192973,"265"
"266","Spring19","Male","Adult",15,120,570,0,0,0,1,1,0,0,1,0,"10552","Male",3,4.79579054559674,0,0,6.34738920965601,1.20186027359809,-0.258415402964369,"266"
"267","Spring19","FemaleLamb","Adult",15,189,342,0,0,0,1,1,0,0,1,0,"10622","Female",3,5.24702407216049,0,0,5.83773044716594,1.20186027359809,-0.258415402964369,"267"
"268","Spring19","Male","Adult",15,135,153,0,0,0,1,1,0,0,1,0,"10258","Male",4,4.91265488573605,0,0,5.03695260241363,1.20186027359809,0.0562322026010486,"268"
"269","Spring19","Male","Adult",16,93,486,0,0,0,1,1,0,0,0,0,"8508","Male",8,4.54329478227,0,0,6.18826412308259,1.63106530497267,1.31482262486272,"269"
"270","Spring19","Male","Adult",10,93,756,0,0,0,1,1,0,0,0,0,"8508","Male",8,4.54329478227,0,0,6.62936325343745,-0.9441648832748,1.31482262486272,"270"
"271","Spring19","Male","Adult",11,153,450,0,0,0,1,1,0,0,1,1,"10525","Male",3,5.03695260241363,0,0,6.11146733950268,-0.514959851900222,-0.258415402964369,"271"
"272","Spring19","Male","Adult",11,153,477,0,0,0,1,1,0,0,1,0,"10552","Male",3,5.03695260241363,0,0,6.16961073249146,-0.514959851900222,-0.258415402964369,"272"
"273","Spring19","FemaleNoLamb","Adult",11,4,2196,0,2,0,1,1,0,1,0,0,"7241","Female",10,1.6094379124341,1.09861228866811,0,7.69484807238461,-0.514959851900222,1.94411783599356,"273"
"274","Spring19","Male","Adult",11,81,198,0,0,0,1,1,0,0,0,0,"10131","Male",6,4.40671924726425,0,0,5.29330482472449,-0.514959851900222,0.685527413731884,"274"
"275","Spring19","FemaleLamb","Adult",11,8,3483,0,0,0,1,1,0,0,0,0,"8740","Female",7,2.19722457733622,0,0,8.15593633797239,-0.514959851900222,1.0001750192973,"275"
"276","Spring19","FemaleLamb","Adult",11,306,414,0,0,0,1,1,0,0,1,1,"8731","Female",7,5.7268477475872,0,0,6.0282785202307,-0.514959851900222,1.0001750192973,"276"
"277","Spring19","Male","Adult",12,30,216,0,0,0,1,1,0,0,0,0,"8735","Male",7,3.43398720448515,0,0,5.37989735354046,-0.0857548205256438,1.0001750192973,"277"
"278","Spring19","FemaleLamb","Adult",12,186,675,0,0,0,1,1,0,0,0,1,"7576","Female",9,5.23110861685459,0,0,6.51619307604296,-0.0857548205256438,1.62947023042814,"278"
"279","Spring19","FemaleNoLamb","Adult",12,2,774,0,0,0,1,1,0,0,0,0,"10438","Female",4,1.09861228866811,0,0,6.65286302935335,-0.0857548205256438,0.0562322026010486,"279"
"280","Spring19","FemaleLamb","Adult",9,30,477,0,0,0,1,1,0,0,0,0,"9246","Female",6,3.43398720448515,0,0,6.16961073249146,-1.37336991464938,0.685527413731884,"280"
"281","Spring19","FemaleLamb","Adult",9,156,936,0,7,0,1,1,0,1,0,0,"11191","Female",2,5.05624580534831,2.07944154167984,0,6.84268328223842,-1.37336991464938,-0.573063008529787,"281"
"282","Spring19","FemaleNoLamb","Adult",9,36,381,0,0,0,1,1,0,0,1,0,"7336","Female",10,3.61091791264422,0,0,5.94542060860658,-1.37336991464938,1.94411783599356,"282"
"283","Spring19","Male","Adult",10,162,1167,0,0,0,1,1,0,0,1,0,"9139","Male",6,5.09375020080676,0,0,7.06304816338817,-0.9441648832748,0.685527413731884,"283"
"284","Spring19","FemaleLamb","Adult",13,2,360,0,0,0,1,1,0,0,0,0,"9836","Female",5,1.09861228866811,0,0,5.88887795833288,0.343450210848935,0.370879808166466,"284"
"285","Spring19","FemaleLamb","Adult",14,22,408,0,1,0,1,1,0,1,0,0,"9165","Female",6,3.13549421592915,0.693147180559945,0,6.0137151560428,0.772655242223513,0.685527413731884,"285"
"286","Spring19","FemaleLamb","Adult",14,84,138,0,0,0,1,1,0,0,0,0,"11239","Female",2,4.44265125649032,0,0,4.93447393313069,0.772655242223513,-0.573063008529787,"286"
"287","Spring19","Male","Adult",14,108,690,0,0,0,1,1,0,0,0,0,"9866","Male",5,4.69134788222914,0,0,6.53813982376767,0.772655242223513,0.370879808166466,"287"
"288","Spring19","FemaleLamb","Adult",14,201,660,0,9,0,1,1,0,1,0,0,"10588","Female",3,5.30826769740121,2.30258509299405,0,6.49375383985169,0.772655242223513,-0.258415402964369,"288"
